t,x,y,theta,phiR,phiF,thetap,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,nu3torque_fl,torque_fr,torque_rl,torque_rr,lamda1,lambda2,lambda3,lambda4,Q_phiR, Q_varphiR, Q_phiF, Q_varphiF
0.25,-6.42811,-1.00058,-9.32811e-06,-0.0127681,-0.00418779,-0.00104595,247,-6.42989,-0.999963,-0.00058519,0.0150611,0.00416009,0.001778,0,0.000263335,0.125731,-0.00328481,0.000783283,0.891171,5.13288,8.94427,5.88157,5.87794,5.88132,5.87771,0.556038,-0.80672,-72.7956,-72.799,0.519293,11.759,0.904892,11.7595
0.26,-6.42685,-1.00062,-2.44857e-06,-0.0126943,-0.00379438,-0.00105553,251,-6.42876,-0.999962,-0.000620733,0.0150658,0.0041621,0.00177915,0,0.000277081,0.126759,-0.00329851,0.000833154,0.878828,5.2384,8.90278,5.80019,5.7964,5.79994,5.79617,0.477316,-0.777892,-71.787,-71.7903,0.529969,11.5961,0.900694,11.5966
0.27,-6.42558,-1.00065,5.13454e-06,-0.0126192,-0.00335852,-0.00106868,256,-6.42734,-0.999961,-0.000656451,0.0150717,0.00416462,0.00178059,0,0.000291132,0.127186,-0.00331305,0.00092794,0.873713,5.34233,8.8719,5.76653,5.76251,5.76628,5.76229,0.40863,-0.752609,-71.3688,-71.3721,0.540484,11.5286,0.89757,11.529
0.28,-6.4243,-1.00068,1.3237e-05,-0.012544,-0.00290132,-0.00107692,260,-6.42621,-0.99996,-0.000692312,0.0150764,0.00416663,0.00178174,0,0.00030546,0.12802,-0.0033217,0.000982788,0.863705,5.44737,8.83894,5.70057,5.69634,5.70033,5.69613,0.338058,-0.721117,-70.551,-70.5542,0.55111,11.3965,0.894235,11.3969
0.29,-6.42302,-1.00072,2.21211e-05,-0.0124678,-0.002412,-0.00108867,265,-6.4248,-0.999958,-0.000728303,0.0150823,0.00416915,0.00178318,0,0.00032004,0.128294,-0.00333263,0.00108088,0.860411,5.55095,8.82147,5.67895,5.67445,5.67871,5.67425,0.278785,-0.692971,-70.2817,-70.2849,0.56159,11.353,0.892468,11.3534
0.3,-6.42173,-1.00075,3.16106e-05,-0.0123914,-0.00190983,-0.00109545,269,-6.42367,-0.999957,-0.000764403,0.015087,0.00417117,0.00178433,0,0.000334852,0.128971,-0.00333792,0.00114131,0.852294,5.65538,8.79047,5.62549,5.62075,5.62527,5.62056,0.213806,-0.659964,-69.6185,-69.6215,0.572155,11.2458,0.889332,11.2462
0.31,-6.42044,-1.00079,4.19367e-05,-0.012314,-0.00138144,-0.00110569,274,-6.42226,-0.999955,-0.000800601,0.0150929,0.00417369,0.00178578,0,0.000349877,0.129127,-0.00334581,0.00124178,0.850415,5.75738,8.77498,5.61323,5.60818,5.61302,5.60802,0.159326,-0.630293,-69.465,-69.4678,0.582474,11.221,0.887764,11.2214
0.32,-6.41901,-1.00083,5.41968e-05,-0.0122242,-0.000832075,-0.00111396,279,-6.42085,-0.999953,-0.000840628,0.0150988,0.00417621,0.00178722,0,0.000365213,0.129522,-0.00360672,0.00132854,0.845628,5.85613,8.76728,5.58177,5.57644,5.58158,5.57629,0.101866,-0.603111,-69.074,-69.0766,0.592464,11.1579,0.886986,11.1582
0.33,-6.41784,-1.00086,6.47709e-05,-0.0121369,-0.000289926,-0.00111962,283,-6.41972,-0.999952,-0.000873183,0.0151035,0.00417823,0.00178838,0,0.000380606,0.129773,-0.00334916,0.00139756,0.842662,5.9036,8.73448,5.56235,5.55673,5.56217,5.55659,0.0479497,-0.585989,-68.8319,-68.8344,0.597267,11.1188,0.883667,11.1191
0.34,-6.41654,-1.00089,7.73151e-05,-0.0120231,0.000276699,-0.00112759,288,-6.4183,-0.99995,-0.000909508,0.0151094,0.00418076,0.00178983,0,0.000396162,0.130253,-0.00334406,0.00145499,0.836902,5.94954,8.72575,5.52449,5.51859,5.52432,5.51847,-0.00703073,-0.570544,-68.3616,-68.3639,0.601915,11.0428,0.882784,11.0431
0.35,-6.41524,-1.00093,9.07356e-05,-0.0118904,0.000843108,-0.0011305,292,-6.41718,-0.999949,-0.000945817,0.0151142,0.00418278,0.00179098,0,0.000411866,0.130253,-0.00334014,0.0015468,0.836888,5.98494,8.69691,5.52456,5.51836,5.5244,5.51826,-0.0570321,-0.558597,-68.3608,-68.363,0.605496,11.0427,0.879866,11.0429
0.36,-6.41393,-1.00096,0.000104816,-0.0117378,0.001428,-0.00113697,297,-6.41576,-0.999947,-0.000982062,0.0151201,0.00418531,0.00179243,0,0.000427705,0.130658,-0.00332724,0.00160029,0.832024,6.02149,8.67988,5.49261,5.48615,5.49247,5.48607,-0.111725,-0.542579,-67.9639,-67.9658,0.609194,10.9785,0.878143,10.9788
0.37,-6.41263,-1.001,0.000119721,-0.0115707,0.00200879,-0.00113842,301,-6.41464,-0.999946,-0.00101822,0.0151248,0.00418733,0.00179359,0,0.000443665,0.130616,-0.0033169,0.0016873,0.83253,6.06318,8.65583,5.49611,5.48935,5.49599,5.4893,-0.156875,-0.523323,-68.0057,-68.0073,0.613411,10.9853,0.875711,10.9855
0.38,-6.41132,-1.00103,0.000135252,-0.0113881,0.00260389,-0.00114348,306,-6.41322,-0.999944,-0.00105425,0.0151307,0.00418986,0.00179505,0,0.000459733,0.130967,-0.00329809,0.00173753,0.82831,6.10102,8.64031,5.4684,5.46139,5.4683,5.46137,-0.20766,-0.503208,-67.6614,-67.6628,0.61724,10.9297,0.87414,10.9298
0.39,-6.41001,-1.00106,0.000151572,-0.0111926,0.00320147,-0.00114783,311,-6.41181,-0.999942,-0.00109015,0.0151366,0.0041924,0.0017965,0,0.000475897,0.130885,-0.00328272,0.00182041,0.829291,6.13937,8.62718,5.47503,5.46774,5.47496,5.46775,-0.250917,-0.481736,-67.7422,-67.7431,0.62112,10.9427,0.872812,10.9428
